"","Birthday","Gender","Breathold","position1","Breathold2","position","pulse_start","time_down_up","pulse_after_down_up","height_in","Age_yrs","arm_shoulder_fingertip_inches","right hand_thumb_pinkty_ inch","handed_R_or_L","Vetran_Y_or_N","Believe_big_bang","Ever _Smoke_cig","Ever Vote","will_vote_Nov","will vote Nov (Y or N)","preferred  class seat(Front, Middle, Back)","sect"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"2",339,"F",12,"down",13,"up",75,16,116,62,18,NA,NA,"R","N","N","N","N","Y","N","it depends","PM"
"3",345,"F",36,"down",40,"up",78,25,120,62,18,27,6.53,"R","N","N","N","N","N","N","Front","PM"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"7",164,"M",61,"up",59,"down",84,30,120,67,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"8",55,"F",10,"up",10,"down",64,NA,NA,62,22,NA,7,"R","N","N","N","Y","Y","Y","Front","PM"
"9",96,"F",45,"up",50,"down",88,45,94,64,34,28,7.501,"R","N","Y","Y","Y","Y","Y","Front","PM"
"10",231,"F",39,"up",37,"down",60,29,115,66,15,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"11",300,"F",31,"up",35,"down",72,38,72,53,18,26,8,"R","N","N","N","N","N","N","Back","PM"
"12",284,"F",40,"up",32,"down",80,31,88,62,19,25,6,"R","N","N","N","N","Y","Y","Front","PM"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"14",190,"F",19,"up",25,"down",88,36,97,68,23,30,9,"R","N","Y","Y","Y","N","N","middle","PM"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"16",198,"F",25,"down",45,"up",70,40,80,61,18,27,6,"R","N","Y","N","N",NA,NA,"middle","PM"
"17",193,"M",43,"down",38,"up",56,31,68,70,19,31,9,"R","N","Y","Y","Y","Y","Y","Middle","PM"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"19",NA,"F",39,"up",80,"down",58,60,68,70,22,27,9,"R","N","Y","Y","Y","Y","Y","Middle","PM"
"20",231,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
"21",202,"M",NA,"up",NA,"down",NA,NA,NA,70,NA,NA,NA,"R","N","Y","N","N","Y","Y","Middle","PM"
"22",195,"F",40,"down",45,"up",62,32,95,64,19,26,6.3,"R","N","Y","N","N","Y","Y","Middle","PM"
"23",192,"F",40,"up",28,"down",84,29,92,66,19,32,6.33,"R","N","Y","N","N","Y","Y","Middle","PM"
"24",355,"M",28,"down",35,"up",62,35,64,68,20,NA,NA,"R","N","N","N","N","Y","Y","Middle","PM"
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM"
